Zip Code,2019 Rank,2019 Avg Score
7001,850.6666666666666,29.48463666666667
7002,508.82608695652175,52.05957260869566
7003,436.22222222222223,61.29955777777778
7004,176.0,85.21240999999999
7005,169.0,78.79826000000001
7006,187.27272727272728,76.64618545454545
7008,682.8,35.77271
7009,135.5,76.1959525
7010,366.0,63.20871499999999
7011,710.6666666666666,45.50868666666668
7012,470.0,68.08856
7013,570.1666666666666,48.99995666666666
7014,311.0,77.46261
7016,152.85714285714286,80.21668
7017,728.1428571428571,33.26165714285714
7018,796.6666666666666,36.915366666666664
7020,599.0,58.486709999999995
7021,1.0,98.13338
7022,842.0,23.18985
7024,203.5,76.426205
7026,466.6,54.112426000000006
7027,439.0,59.293589999999995
7028,18.333333333333332,93.71524333333333
7029,520.2,44.586648000000004
7030,306.38461538461536,65.2555776923077
7031,417.8,56.731331999999995
7032,705.0,39.181147777777774
7033,570.0,32.261896666666665
7034,139.0,87.10290499999999
7035,202.5,81.6714
7036,627.5,43.7810675
7039,42.75,93.98897875
7040,341.6666666666667,67.704335
7041,6.5,96.66192500000001
7042,272.0,71.06252700000002
7044,307.8333333333333,69.29266
7045,90.0,90.90718
7046,14.5,91.94811750000001
7047,530.7272727272727,43.550765454545456
7050,617.5384615384615,33.069963846153854
7052,386.6,62.77140700000001
7054,236.875,76.83195375000001
7055,826.8095238095239,17.74531333333333
7057,410.5,53.583355
7058,17.0,95.31042
7059,117.0,83.73553799999999
7060,771.0,25.113373333333335
7062,995.5,17.483285000000002
7063,670.3333333333334,38.53799333333333
7064,1001.0,29.466890000000003
7065,591.8,40.983918
7066,177.25,72.05292750000001
7067,520.8333333333334,52.546455
7068,106.0,89.43088
7069,68.5,89.07339999999999
7070,390.25,58.676355
7071,390.6,51.397874
7072,472.5,56.659525
7073,371.0,51.291086666666665
7074,283.0,73.58717999999999
7075,221.0,61.998250000000006
7076,99.76923076923077,88.48638615384613
7077,722.0,49.06118
7078,1.0,98.13338
7079,283.0,73.58717999999999
7080,318.1666666666667,67.34838666666667
7081,255.25,65.1218725
7082,142.0,86.89605
7083,492.8888888888889,55.23372222222222
7086,593.3333333333334,32.402786666666664
7087,570.5384615384615,53.097109230769235
7090,89.88888888888889,90.44898888888889
7092,53.5,92.757695
7093,767.4,35.720254000000004
7094,376.8,53.727832
7095,493.2,47.827224
7102,374.1,54.57063300000001
7103,711.0526315789474,25.10276631578947
7104,690.9444444444445,43.74805833333333
7105,573.2222222222222,42.22577888888889
7106,787.0,30.954037142857143
7107,610.375,43.17471375
7108,731.1,22.556786
7109,589.2222222222222,48.98329666666667
7110,272.42857142857144,73.5867157142857
7111,979.3333333333334,18.15794083333333
7112,834.3636363636364,14.863652727272727
7114,305.0,55.994980000000005
7201,709.6666666666666,29.544293333333332
7202,513.578947368421,38.00038578947368
7203,804.2,24.997286000000003
7204,378.8,60.091356
7205,623.6666666666666,27.79518333333333
7206,670.9166666666666,37.99652916666667
